user_id,item_id,rating
1,536,5
1,152,5
1,540,1
1,501,5
1,132,4
1,236,2
1,253,2
1,340,2
1,537,2
1,569,3
1,315,5
1,234,4
1,582,2
1,476,5
1,339,3
1,112,4
1,292,1
1,146,1
1,343,1
1,440,4
1,592,1
1,334,5
1,528,1
1,192,2
1,485,3
1,101,2
1,102,1
1,568,4
1,535,4
1,353,1
1,439,5
1,134,2
1,424,2
1,178,5
1,562,2
1,505,4
1,577,3
1,123,1
1,490,5
1,474,5
1,354,5
1,147,2
1,141,3
1,428,3
1,260,1
1,441,2
1,270,3
1,456,5
1,162,5
1,459,3
2,272,3
2,489,5
2,556,1
2,450,2
2,282,1
2,304,4
2,443,4
2,326,
2,327,4
2,491,5
2,392,3
2,445,
2,515,2
2,543,1
2,188,2
2,250,5
2,155,5
2,321,1
2,115,1
2,457,4
2,181,4
2,390,1
2,105,3
2,286,2
2,129,2
2,239,1
2,434,1
2,595,4
2,207,1
2,361,4
2,527,4
2,404,5
2,217,4
2,240,3
2,353,4
2,306,1
2,284,1
2,579,5
2,459,3
2,586,5
2,436,1
3,475,3
3,404,4
3,593,1
3,516,2
3,313,2
3,203,5
3,395,2
3,443,3
3,171,1
3,586,2
3,202,2
3,385,5
3,246,3
3,499,5
3,367,3
3,188,2
3,148,5
3,410,1
3,407,5
3,456,5
3,276,4
3,504,4
3,166,4
3,434,3
3,217,2
3,192,5
3,463,4
3,297,4
3,598,1
3,235,5
3,547,4
3,498,1
3,440,1
3,273,4
3,173,4
3,354,
3,548,1
3,196,4
3,401,4
3,143,3
3,464,3
3,247,3
4,596,3
4,236,1
4,351,3
4,449,3
4,406,1
4,314,1
4,195,5
4,223,2
4,326,2
4,540,5
4,507,1
4,350,3
4,589,3
4,231,5
4,328,5
4,284,4
4,170,4
4,572,5
4,546,2
4,355,5
4,471,4
4,125,2
4,224,3
4,465,3
4,144,1
4,381,3
4,405,1
4,597,5
4,513,4
4,444,2
4,565,5
4,357,4
4,217,1
4,176,2
4,526,2
4,292,1
4,442,4
4,433,3
4,359,3
4,184,4
4,309,5
4,318,4
4,420,4
4,193,2
4,407,3
5,161,1
5,459,2
5,207,1
5,309,3
5,240,5
5,405,3
5,350,2
5,429,4
5,369,3
5,282,3
5,420,4
5,508,5
5,313,2
5,223,2
5,499,2
5,559,3
5,349,3
5,551,1
5,181,1
5,268,1
5,428,
5,419,2
5,435,4
5,544,2
5,135,1
5,122,3
5,463,2
5,546,3
5,203,2
5,225,4
5,212,4
5,440,5
5,400,2
5,185,4
5,500,3
5,562,5
5,457,5
5,346,2
5,224,5
6,231,1
6,145,2
6,222,2
6,391,1
6,189,5
6,330,5
6,347,1
6,557,1
6,547,1
6,328,4
6,321,5
6,257,4
6,512,3
6,431,4
6,580,4
6,398,1
6,520,3
6,143,1
6,478,1
6,119,4
6,191,2
6,134,4
6,169,3
6,375,2
6,344,5
6,312,5
6,511,2
6,449,1
6,144,4
6,168,4
6,563,3
6,533,5
6,548,5
6,546,1
6,545,2
6,550,4
6,253,3
6,158,2
6,538,4
7,515,4
7,411,5
7,310,2
7,543,2
7,292,1
7,207,2
7,146,1
7,138,1
7,508,1
7,120,1
7,404,3
7,370,1
7,264,1
7,582,1
7,314,4
7,556,2
7,186,3
7,288,1
7,490,1
7,436,2
7,206,4
7,519,5
7,214,1
7,453,4
7,538,3
7,595,5
7,123,5
7,230,2
7,158,5
7,498,2
7,495,2
7,183,2
7,448,3
7,588,3
7,132,3
7,111,3
7,511,2
7,499,2
7,173,3
7,430,4
7,300,3
7,372,3
7,217,1
7,551,4
8,173,4
8,364,3
8,404,3
8,189,1
8,390,5
8,144,2
8,177,4
8,463,1
8,383,5
8,182,3
8,160,3
8,570,2
8,448,4
8,232,1
8,198,2
8,117,1
8,468,2
8,524,3
8,304,3
8,296,4
8,155,5
8,128,1
8,456,2
8,151,3
8,396,5
8,589,2
8,286,1
8,513,3
8,411,1
8,487,1
8,110,1
8,516,4
8,178,4
8,433,2
8,309,2
8,403,3
8,494,2
8,262,5
8,407,2
8,434,2
8,500,2
8,259,5
8,594,4
8,466,5
8,474,2
8,131,5
8,354,1
8,476,5
8,462,3
8,548,5
8,481,5
8,399,5
8,440,3
8,557,5
8,397,5
8,590,3
8,181,1
8,484,1
8,571,2
8,301,2
8,159,3
9,172,4
9,320,2
9,578,3
9,514,5
9,491,2
9,211,3
9,323,4
9,164,3
9,213,2
9,518,2
9,593,2
9,195,5
9,422,1
9,568,4
9,242,2
9,534,1
9,545,3
9,142,2
9,273,2
9,254,2
9,506,2
9,402,3
9,101,5
9,314,2
9,426,1
9,160,1
9,340,2
9,398,2
9,582,2
9,365,3
9,356,5
9,364,1
9,511,3
9,165,1
9,467,3
9,442,
9,233,5
9,427,3
9,275,2
9,182,5
9,130,3
9,143,3
9,487,4
9,513,3
9,122,3
9,235,1
9,272,4
9,409,3
9,225,5
10,392,2
10,115,2
10,361,2
10,421,1
10,147,3
10,423,1
10,434,2
10,430,2
10,468,3
10,411,5
10,167,5
10,404,5
10,497,4
10,581,4
10,280,1
10,245,3
10,175,4
10,159,3
10,198,4
10,381,3
10,314,4
10,437,4
10,194,1
10,414,3
10,406,1
10,153,1
10,317,1
10,324,4
10,152,1
10,150,4
10,397,5
10,588,4
10,489,5
10,426,4
10,268,1
10,530,3
10,157,2
10,208,4
10,273,3
10,438,5
10,572,1
10,528,1
10,574,4
10,417,2
10,145,4
10,243,4
10,509,5
10,323,2
10,101,2
10,105,4
10,373,2
10,143,3
10,188,5
10,353,1
10,225,4
10,234,3
10,135,1
11,304,2
11,128,3
11,363,5
11,173,1
11,125,5
11,138,3
11,158,3
11,493,3
11,113,2
11,219,1
11,480,5
11,556,1
